AAA	NG	L	Ghotuo
AAB	NG	L	Arum-tesu
AAC	PG	L	Ari
AAD	PG	L	Amal
AAE	IT	L	Albanian, Arbëreshë
AAF	IN	L	Aranadan
AAG	IN	L	Are
AAI	PG	L	Arifama-miniafia
AAK	PG	L	Ankave
AAL	NG	L	Afade
AAM	TZ	L	Aramanik
AAN	BR	N	Anambé
AAO	DZ	L	Arabic, Algerian Saharan Spoken
AAP	BR	L	Arára, Pará
AAQ	US	N	Abnaki, Eastern
AAR	IN	L	Aariya
AAS	TZ	E	Aasáx
AAT	GR	L	Albanian, Arvanitika
AAU	PG	L	Abau
AAW	PG	L	Solong
AAZ	ID	L	Amarasi
ABA	CI	L	Abé
ABB	CM	L	Abo
ABC	PH	L	Ayta, Ambala
ABD	PH	L	Agta, Camarines Norte
ABE	CA	N	Abnaki, Western
ABF	MY	L	Abai Sungai
ABG	PG	N	Abaga
ABH	TJ	L	Arabic, Tajiki Spoken
ABI	CI	L	Abidji
ABJ	IN	L	Abujmaria
ABK	GE	L	Abkhaz
ABL	ID	L	Abung
ABM	NG	L	Abanyom
ABN	NG	L	Abua
ABO	NG	L	Abon
ABP	PH	L	Ayta, Abenlen
ABQ	RU	L	Abaza
ABR	GH	L	Abron
ABS	ID	L	Malay, Ambonese
ABT	PG	L	Ambulas
ABU	CI	L	Abure
ABV	SA	L	Arabic, Standard
ABW	PG	L	Abasakur
ABX	PH	L	Sama, Abaknon
ABY	PG	L	Aneme Wake
ABZ	ID	L	Abui
ACA	CO	L	Achagua
ACB	NG	L	áncá
ACC	GT	L	Achí, Cubulco
ACD	GH	L	Gikyode
ACE	IN	E	Aka-bea
ACH	US	N	Achumawi
ACI	IN	E	Aka-cari
ACK	IN	E	Aka-kora
ACL	IN	E	Akar-bale
ACM	IQ	L	Arabic, Mesopotamian Spoken
ACN	CN	L	Achang
ACO	UG	L	Acholi
ACQ	YE	L	Arabic, Ta'izzi-adeni Spoken
ACR	GT	L	Achí, Rabinal
ACS	BR	E	Acroá
ACT	NL	L	Achterhoeks
ACU	PE	L	Achuar-shiwiar
ACW	SA	L	Arabic, Hijazi Spoken
ACX	OM	L	Arabic, Omani Spoken
ACY	CY	L	Arabic, Cypriot Spoken
ACZ	SD	L	Acheron
ADA	ID	L	Adonara
ADB	TP	L	Adabe
ADD	CM	L	Dzodinka
ADE	TG	L	Adele
ADF	OM	L	Arabic, Dhofari Spoken
ADG	AU	N	Andegerebinha
ADH	UG	L	Adhola
ADI	IN	L	Adi
ADJ	CI	L	Adioukrou
ADN	ID	L	Adang
ADO	PG	L	Abu
ADP	BT	L	Adap
ADQ	GH	L	Adangbe
ADS	GH	L	Adamorobe Sign Language
ADT	AU	L	Adynyamathanha
ADU	NG	L	Aduge
ADW	BR	L	Amondawa
ADX	CN	L	Amdo
ADY	RU	L	Adyghe
AEA	AU	N	Areba
AEB	TN	L	Arabic, Tunisian Spoken
AEC	EG	L	Arabic, Sa<idi Spoken
AED	AR	L	Argentine Sign Language
AEE	AF	L	Pashayi, Northeast
AEK	NC	N	Haeke
AEL	CM	L	Ambele
AEM	VN	N	Arem
AEN	AM	L	Armenian Sign Language
AEQ	PK	L	Aer
AER	AU	L	Arrernte, Eastern
AES	US	E	Alsea
AEW	PG	L	Aion
AEX	US	L	Amerax
AFA	NG	L	Pa'a
AFB	IQ	L	Arabic, Gulf Spoken
AFE	NG	L	Putukwam
AFH	BH	L	Arabic, Baharna Spoken
AFI	PG	L	Akrukay
AFK	ZA	L	Afrikaans
AFN	NG	L	Defaka
AFO	NG	L	Eloyi
AFR	ET	L	Afar
AFS	US	L	Afro-seminole Creole
AFT	SD	L	Afitti
AFU	GH	L	Awutu
AFZ	ID	L	Obokuitai
AGA	PE	E	Aguano
AGB	NG	L	Legbo
AGC	NG	L	Agatu
AGD	PG	L	Agarabi
AGE	PG	L	Angal
AGF	ID	L	Arguni
AGG	PG	L	Angor
AGH	ZR	L	Ngelima
AGI	IN	L	Agariya
AGJ	ET	L	Argobba
AGK	PH	N	Agta, Isarog
AGL	PG	L	Fembe
AGM	PG	L	Angaatiha
AGN	PH	L	Agutaynen
AGO	PG	L	Tainae
AGP	PH	L	Paranan
AGQ	CM	L	Aghem
AGR	PE	L	Aguaruna
AGS	CM	L	Esimbi
AGT	PH	L	Agta, Central Cagayan
AGU	GT	L	Aguacateco
AGV	PH	L	Agta, Remontado
AGW	SB	L	Kahua
AGX	RU	L	Aghul
AGY	PH	L	Alta, Southern
AGZ	PH	L	Agta, Mt. Iriga
AHA	GH	L	Ahanta
AHB	VU	L	Axamb
AHE	ID	L	Ahe
AHH	ID	L	Aghu
AHI	CI	L	Aizi, Tiagbamrin
AHL	TG	L	Igo
AHM	CI	L	Aizi, Mobumrin
AHN	NG	L	àhàn
AHO	IN	E	Ahom
AHP	CI	L	Aizi, Aproumu
AHR	IN	L	Ahirani
AHS	NG	L	Ashe
AHT	US	N	Ahtena
AIA	SB	L	Arosi
AIB	CN	L	Ainu
AIC	PG	L	Ainbai
AID	AU	N	Alngith
AIE	PG	L	Amara
AIF	PG	L	Agi
AIG	AG	L	Leeward Caribbean Creole English
AIH	CN	L	Ai-cham
AII	IQ	L	Assyrian Neo-aramaic
AIJ	IL	L	Lishanid Noshan
AIK	NG	L	Ake
AIL	PG	L	Aimele
AIM	IN	L	Aimol
AIN	JP	N	Ainu
AIO	IN	L	Aiton
AIP	ID	L	Burumakok
AIQ	AF	L	Aimaq
AIR	ID	L	Airoran
AIS	TW	L	Amis, Nataoran
AIY	CF	L	Ali
AIZ	ET	L	Aari
AJA	SD	L	Aja
AJG	BJ	L	Aja-gbe
AJI	NC	L	Ajië
AJP	JO	L	Arabic, South Levantine Spoken
AJT	IL	L	Arabic, Judeo-tunisian
AJU	IL	L	Arabic, Judeo-moroccan
AJW	NG	E	Ajawa
AKA	MM	L	Akha
AKB	ID	L	Batak Angkola
AKC	ID	L	Mpur
AKD	NG	L	Ukpet-ehom
AKE	NA	L	'Akhoe
AKF	NG	L	Akpa
AKG	ID	L	Anakalangu
AKH	PG	L	Angal Heneng
AKI	PG	L	Aiome
AKJ	IN	E	Aka-jeru
AKK	NG	L	Arigidi
AKL	PH	L	Aklanon
AKM	IN	E	Aka-bo
AKN	BR	L	Amikoana
AKO	SR	N	Akurio
AKP	GH	L	Siwu
AKQ	PG	L	Ak
AKR	VU	L	Araki
AKS	TG	L	Akaselem
AKT	PG	L	Akolet
AKU	CM	L	Akum
AKV	RU	L	Akhvakh
AKW	CG	L	Akwa
AKX	IN	E	Aka-kede
AKY	IN	E	Aka-kol
AKZ	US	L	Alabama
ALA	NG	L	Alago
ALB	ET	L	Alaba
ALC	CL	L	Qawasqar
ALD	CI	L	Alladian
ALE	US	E	Atakapa
ALF	NG	L	Alege
ALG	CA	L	Algonquin
ALH	AU	N	Alawa
ALI	PG	L	Amaimon
ALJ	PH	L	Alangan
ALK	LA	L	Alak
ALL	IN	L	Allar
ALM	VU	L	Amblong
ALN	AL	L	Albanian, Tosk
ALO	ID	L	Larike-wakasihu
ALP	ID	L	Alune
ALR	RU	L	Alutor
ALS	YU	L	Albanian, Gheg
ALT	RU	L	Altai, Southern
ALU	SB	L	'Are'are
ALV	TW	L	Amis
ALW	US	L	Aleut
ALX	PG	L	Alatil
ALY	AU	L	Alyawarr
ALZ	ZR	L	Alur
AMA	BR	L	Amanayé
AMB	NG	L	Ambo
AMC	PE	L	Amahuaca
AMD	BR	L	Amapá Creole
AME	PE	L	Yanesha'
AMF	ET	L	Hamer-banna
AMG	AU	N	Amarag
AMH	ET	L	Amharic
AMI	PG	L	Amele
AMJ	TD	L	Amdang
AMK	ID	L	Ambai
AML	IN	L	Amwi
AMM	PG	L	Ama
AMN	PG	L	Amanab
AMO	NG	L	Amo
AMP	PG	L	Alamblak
AMQ	ID	N	Amahai
AMR	PE	L	Amarakaeri
AMS	JP	L	Amami-oshima, Southern
AMT	PG	L	Amto
AMU	MX	L	Amuzgo, Guerrero
AMV	ID	L	Ambelau
AMW	SY	L	Western Neo-aramaic
AMX	AU	L	Anmatyerre
AMY	AU	L	Ami
AMZ	AU	N	Atampaya
ANA	CO	E	Andaqui
ANB	PE	E	Andoa
ANC	NG	L	Ngas
AND	ID	L	Ansus
ANE	NC	L	Xârâcùù
ANF	GH	L	Animere
ANG	CN	L	Kon Keu
ANH	PG	L	Nend
ANI	RU	L	Andi
ANJ	PG	L	Anor
ANK	NG	L	Goemai
ANL	MM	L	Anu
ANM	IN	L	Anal
ANN	NG	L	Obolo
ANO	CO	L	Andoque
ANP	IN	L	Angika
ANQ	IN	L	Jarawa
ANR	IN	L	Andh
ANS	CO	E	Anserma
ANT	AU	L	Antakarinya
ANU	SD	L	Anuak
ANV	CM	L	Denya
ANW	NG	L	Anaang
ANX	PG	L	Andra-hus
ANY	CI	L	Anyin
ANZ	PG	L	Anem
AOA	ST	L	Angolar
AOC	VE	L	Pemon
AOD	PG	L	Andarum
AOE	PG	L	Angal Enen
AOF	PG	L	Bragat
AOG	PG	L	Angoram
AOH	CO	E	Arma
AOI	AU	L	Anindilyakwa
AOJ	PG	L	Mufian
AOK	NC	L	Arhö
AOL	ID	L	Alor
AOM	PG	L	ömie
AON	PG	L	Arapesh, Bumbita
AOR	VU	N	Aore
AOS	ID	L	Taikat
AOT	IN	L	A'tong
APA	BR	L	Apalaí
APB	SB	L	Sa'a
APC	SY	L	Arabic, North Levantine Spoken
APD	SD	L	Arabic, Sudanese Spoken
APE	PG	L	Bukiyip
APG	ID	L	Ampanang
APH	NP	L	Athpariya
API	BR	L	Apiacá
APJ	US	L	Apache, Jicarilla
APK	US	N	Apache, Kiowa
APL	US	N	Apache, Lipan
APM	US	L	Apache, Mescalero-chiricahua
APN	BR	L	Apinayé
APO	PG	L	Apos
APP	VU	L	Apma
APQ	IN	N	A-pucikwar
APR	PG	L	Arop-lokep
APS	PG	L	Arop-sissano
APT	IN	L	Apatani
APU	BR	L	Apurinã
APW	US	L	Apache, Western
APX	ID	L	Aputai
APZ	PG	L	Ampeeli-wojokeso
AQM	ID	L	Atohwaim
AQN	PH	L	Alta, Northern
ARA	BR	E	Arua
ARB	GY	L	Akawaio
ARC	RU	L	Archi
ARD	AU	N	Arabana
ARE	AU	L	Arrarnta, Western
ARF	PG	L	Arafundi
ARG	NC	L	Xaragure
ARH	CO	L	Ica
ARI	US	L	Arikara
ARJ	BR	L	Arapaso
ARK	BR	N	Arikapú
ARL	PE	L	Arabela
ARM	AM	L	Armenian
ARN	NC	L	Arhâ
ARO	BO	L	Araona
ARP	US	L	Arapaho
ARQ	DZ	L	Arabic, Algerian Spoken
ARR	BR	L	Arára, Rondônia
ARS	SA	L	Arabic, Najdi Spoken
ART	BR	L	Rikbaktsa
ARU	CL	L	Mapudungun
ARV	ET	L	Arbore
ARW	SR	L	Arawak
ARX	BR	N	Aruá
ARY	MA	L	Arabic, Moroccan Spoken
ARZ	EG	L	Arabic, Egyptian Spoken
ASA	TZ	L	Asu
ASB	CA	L	Assiniboine
ASC	ID	L	Asmat, Casuarina Coast
ASD	PG	L	Asas
ASE	US	L	American Sign Language
ASF	AU	L	Australian Sign Language
ASG	NG	L	Cishingini
ASH	PE	E	Abishira
ASI	ID	L	Buruwai
ASJ	CM	L	Nsari
ASK	AF	L	Ashkun
ASL	ID	L	Asilulu
ASM	IN	L	Assamese
ASN	BR	L	Asuriní, Xingú
ASO	PG	L	Dano
ASP	DZ	L	Algerian Sign Language
ASQ	AT	L	Austrian Sign Language
ASR	IN	L	Asuri
ASS	CM	L	Ipulo
AST	ID	L	Asmat, Central
ASU	BR	L	Asuriní
ASV	ZR	L	Asoa
ASW	AU	L	Australian Aborigines Sign Language
ASX	PG	L	Asat
ASY	ID	L	Asmat, Yaosakor
ASZ	ID	L	As
ATA	PG	L	Pele-ata
ATB	CN	L	Zaiwa
ATC	PE	E	Atsahuaca
ATD	PH	L	Manobo, Ata
ATE	PG	L	Atemble
ATF	CN	L	Atuence
ATG	NG	L	Ivbie North-okpela-arhe
ATH	PH	L	Atta, Faire
ATI	CI	L	Attié
ATJ	ID	L	Aceh
ATK	PH	L	Ati
ATL	PH	L	Agta, Mt. Iraya
ATM	PH	N	Ata
ATN	IR	L	Ashtiani
ATO	CM	L	Atong
ATP	PH	L	Atta, Pudtol
ATQ	ID	L	Aralle-tabulahan
ATR	BR	L	Atruahí
ATS	US	N	Gros Ventre
ATT	PH	L	Atta, Pamplona
ATU	SD	L	Reel
ATV	RU	L	Altai, Northern
ATW	US	N	Atsugewi
ATX	BR	N	Arutani
ATY	VU	L	Aneityum
ATZ	PH	L	Arta
AUA	SB	L	Asumboa
AUB	ES	L	Asturian
AUC	EC	L	Waorani
AUD	SB	L	Anuta
AUE	NA	L	=/Kx'au//'ein
AUG	BJ	L	Aguna
AUH	ZM	L	Aushi
AUI	PG	L	Anuki
AUJ	LY	L	Awjilah
AUK	PG	L	Wanib
AUL	VU	L	Aulua
AUM	NG	L	Asu
AUN	PG	L	Aunalei
AUO	NG	E	Auyokawa
AUP	PG	L	Aturu
AUQ	ID	L	Anus
AUR	PG	L	Aruek
AUS	PE	E	Aushiri
AUT	PF	L	Austral
AUU	ID	L	Auye
AUV	FR	L	Auvergnat
AUW	ID	L	Awyi
AUY	PG	L	Awiyaana
AUZ	UZ	L	Arabic, Uzbeki Spoken
AVA	GH	L	Avatime
AVB	PG	L	Avau
AVD	IR	L	Alviri-vidari
AVE	NC	L	Haveke
AVI	CI	L	Avikam
AVL	EG	L	Arabic, Eastern Egyptian Bedawi Spoken
AVO	BR	L	Agavotaguerra
AVR	RU	L	Avar
AVS	IR	E	Avestan
AVT	PG	L	Au
AVU	ZR	L	Avokaya
AVV	BR	L	Avá-canoeiro
AWA	NG	L	Acipa, Eastern
AWB	PG	L	Awa
AWC	NG	L	Acipa, Western
AWD	IN	L	Awadhi
AWE	BR	L	Awetí
AWG	AU	E	Agwamin
AWH	ID	L	Awbono
AWI	PG	L	Aekyom
AWJ	ID	L	Awyu, Nohon
AWK	AU	E	Awabakal
AWM	PG	L	Arawum
AWN	ET	L	Awngi
AWO	NG	L	Awak
AWR	ID	L	Awera
AWT	BR	L	Araweté
AWW	PG	L	Awun
AWX	PG	L	Awara
AXA	BR	L	Arára, Acre
AXG	BR	E	Arára, Mato Grosso
AXK	CF	L	Yaka
AXX	ES	L	Aragonese
AYA	PG	L	Awar
AYB	BJ	L	Ayizo-gbe
AYC	PE	L	Aymara, Southern
AYD	AU	N	Ayabadhu
AYE	NG	L	Ayere
